OperatorType.MASS
OperatorType.STIFFNESS
OperatorType.CONVECTION
OperatorType.RHS

TTFT, -5.910925794131453
FTFT, -5.910925843871892

TTFF, -5.910925908660145
TFFT, -5.910925840396172

FTFF, -5.91092577895072
TFFF, -5.9109258281376045

FFFT, -5.910925818822577
FFFF, -5.910925827049283

TTTT, -3.4553687713080747
TTTF, -3.455368766464446
FTTT, -3.4553687724609308
FTTF, -3.4553687560189608
TFTT, -3.455368770111029
TFTF, -3.4553687652094576
FFTT, -3.4553687757452756
FFTF, -3.455368760608829
















